contrail-analytics atsgen/contrail-analytics Juniper/contrail-analytics
contrail-ansible-deployer atsgen/contrail-ansible-deployer Juniper/contrail-ansible-deployer
contrail-api-client atsgen/contrail-api-client Juniper/contrail-api-client
contrail-aws-ci-provisioning atsgen/contrail-aws-ci-provisioning Juniper/contrail-aws-ci-provisioning
contrail-build atsgen/contrail-build Juniper/contrail-build
contrail-ceilometer-plugin atsgen/contrail-ceilometer-plugin Juniper/contrail-ceilometer-plugin
contrail-common atsgen/contrail-common Juniper/contrail-common
contrail-container-builder atsgen/contrail-container-builder Juniper/contrail-container-builder
contrail-controller atsgen/contrail-controller Juniper/contrail-controller
contrail-deployers-containers atsgen/contrail-deployers-containers Juniper/contrail-deployers-containers
contrail-dev-env atsgen/contrail-dev-env Juniper/contrail-dev-env
contrail-distro-third-party atsgen/contrail-distro-third-party Juniper/contrail-distro-third-party
contrail-dpdk atsgen/contrail-dpdk Juniper/contrail-dpdk
contrail-dpdk-extra-packages atsgen/contrail-dpdk-extra-packages Juniper/contrail-dpdk-extra-packages
contrail-f5 atsgen/contrail-f5 Juniper/contrail-f5
contrail-generateDS atsgen/contrail-generateDS Juniper/contrail-generateDS
contrail-heat atsgen/contrail-heat Juniper/contrail-heat
contrail-helm-deployer atsgen/contrail-helm-deployer Juniper/contrail-helm-deployer
contrail-java-api atsgen/contrail-java-api Juniper/contrail-java-api
contrail-kolla-ansible atsgen/contrail-kolla-ansible Juniper/contrail-kolla-ansible
contrail-neutron-plugin atsgen/contrail-neutron-plugin Juniper/contrail-neutron-plugin
contrail-nova-extensions atsgen/contrail-nova-extensions Juniper/contrail-nova-extensions
contrail-nova-vif-driver atsgen/contrail-nova-vif-driver Juniper/contrail-nova-vif-driver
contrail-packages atsgen/contrail-packages Juniper/contrail-packages
contrail-packaging atsgen/contrail-packaging Juniper/contrail-packaging
contrail-provisioning atsgen/contrail-provisioning Juniper/contrail-provisioning
contrail-sandesh atsgen/contrail-sandesh Juniper/contrail-sandesh
contrail-specs atsgen/contrail-specs Juniper/contrail-specs
contrail-test atsgen/contrail-test Juniper/contrail-test
contrail-third-party atsgen/contrail-third-party Juniper/contrail-third-party
contrail-third-party-cache atsgen/contrail-third-party-cache Juniper/contrail-third-party-cache
contrail-third-party-packages atsgen/contrail-third-party-packages Juniper/contrail-third-party-packages
contrail-tripleo-heat-templates atsgen/contrail-tripleo-heat-templates Juniper/contrail-tripleo-heat-templates
contrail-tripleo-puppet atsgen/contrail-tripleo-puppet Juniper/contrail-tripleo-puppet
contrail-ui-third-party-cache atsgen/contrail-ui-third-party-cache Juniper/contrail-ui-third-party-cache
contrail-vcenter-fabric-manager atsgen/contrail-vcenter-fabric-manager Juniper/contrail-vcenter-fabric-manager
contrail-vcenter-manager atsgen/contrail-vcenter-manager Juniper/contrail-vcenter-manager
contrail-vcenter-plugin atsgen/contrail-vcenter-plugin Juniper/contrail-vcenter-plugin
contrail-vnc atsgen/contrail-vnc Juniper/contrail-vnc
contrail-vro-plugin atsgen/contrail-vro-plugin Juniper/contrail-vro-plugin
contrail-vrouter atsgen/contrail-vrouter Juniper/contrail-vrouter
contrail-vrouter-java-api atsgen/contrail-vrouter-java-api Juniper/contrail-vrouter-java-api
contrail-web-controller atsgen/contrail-web-controller Juniper/contrail-web-controller
contrail-web-core atsgen/contrail-web-core Juniper/contrail-web-core
contrail-web-server-manager atsgen/contrail-web-server-manager Juniper/contrail-web-server-manager
contrail-web-storage atsgen/contrail-web-storage Juniper/contrail-web-storage
contrail-webui-third-party atsgen/contrail-webui-third-party Juniper/contrail-webui-third-party
openshift-ansible atsgen/openshift-ansible Juniper/openshift-ansible
openstack-helm atsgen/openstack-helm Juniper/openstack-helm
openstack-helm-infra atsgen/openstack-helm-infra Juniper/openstack-helm-infra
python-neutronclient atsgen/python-neutronclient Juniper/python-neutronclient
vijava atsgen/vijava Juniper/vijava
